title,authors,isbn,quantity,checkedOut
1001 Cool Gross Jokes,"['Nicolas Brasch', '']",9781488923920,1,2
11 Birthdays,"['Wendy Mass', '']",9780545155649,1,0
A Dog Called Kitty,"['Bill Wallace', '']",9780671770815,1,0
A Dog's Life,"['Ann M. Martin', '']",9780439717007,1,0
A Good Kind of Trouble,"['Lisa Moore Ramee', '']",1000000000001,1,0
A Series of Unfortunate Events #1: The Bad Beginning,"['Lemony Snicket', '']",9780064407663,1,0
A Series of Unfortunate Events #1: The Bad Beginning,"['Lemony Snicket', '']",0439206472,2,0
A Series of Unfortunate Events #11: The Grim Grotto,"['Lemony Snicket', '']",9780064410144,1,0
A Series of Unfortunate Events #12: The Penultimate Peril,"['Lemony Snicket', '']",9780064410151,1,0
A Series of Unfortunate Events #2: The Reptile Room,"['Lemony Snicket', '']",0439206480,1,0
A Series of Unfortunate Events #3: The Wide Window,"['Lemony Snicket', '']",0439272629,1,0
A Series of Unfortunate Events #4: The Miserable Mill,"['Lemony Snicket', '']",0439272637,2,0
A Series of Unfortunate Events #6: The Ersatz Elevator,"['Lemony Snicket', '']",0439386004,1,0
A Series of Unfortunate Events #7: The Vile Village,"['Lemony Snicket', '']",0439386012,1,0
A Series of Unfortunate Events #8: The Hostile Hospital,"['Lemony Snicket', '']",0439451078,1,0
A Series of Unfortunate Events #9: The Carnivorous Carnival,"['Lemony Snicket', '']",9780439554886,1,0
A Series of Unfortunate Events: The Slippery Slope,"['Lemony Snicket', '']",9780439698375,2,0
A Wrinkle in Time,"[""Madeleine L'Engle"", '']",9789389157727,1,0
Afternoon on the Amazon,"['Mary Pope Osborne', '']",0590965425,2,0
Against the Tide,"['Tui Sutherland', '']",9780545522472,1,0
Allegiant,"['Veronica Roth', '']",9781594139604,1,0
Always Neverland,"['Zoe Barton', '']",9780061963254,1,0
American Girls Library: Meet Samantha,"['Susan S. Adler', '']",9780937295809,1,0
Amina's Voice,"['Hena Khan', '']",9781481492089,1,0
Among the Barons,"['Margaret Peterson Haddix', '']",0689839103,1,0
Among the Betrayed,"['Margaret Peterson Haddix', '']",9780689839092,1,0
Among the Brave,"['Margaret Peterson Haddix', '']",9780689857959,1,0
Among the Enemy,"['Margaret Peterson Haddix', '']",9780689857973,1,0
Among the Free,"['Margaret Peterson Haddix', '']",9780545493147,1,0
Among the Hidden,"['Margaret Peterson Haddix', '']",9780689848070,1,0
Among the Impostors,"['Margaret Peterson Haddix', '']",9780689839085,1,0
Aphrodite the Beauty,"['Joan Holub', '']",9780545316149,1,0
Aphrodite the Diva,"['Joan Holub', 'Suzanne Williams']",9781442421004,1,0
Artemis the Brave,"['Joan Holub', 'Suzanne Williams']",9780545351782,1,0
Artemis the Loyal,"['Joan Holub', 'Suzanne Williams']",9781442433779,1,0
Athena the Brain,"['Joan Holub', 'Suzanne Williams']",9780545315852,1,0
Athena the Proud,"['Joan Holub', 'Suzanne Williams']",9781442488205,1,0
Athena the Wise,"['Joan Holub', 'Suzanne Williams']",9781442420977,1,0
Bad Kitty Gets a Bath,"['Nick Bruel', '']",9781429962353,1,0
Bad Kitty Gets a Bath,"['Nick Bruel', '']",9780545162135,1,0
Bad Magic,"['Pseudonymous Bosch', '']",9780316320399,1,0
Bailey's Story,"['W. Bruce Cameron', '']",9780765388407,1,0
Balto and the Great Race (Totally True Adventures),"['Elizabeth Cody Kimmel', '']",9780679891987,1,0
Baseball Biographies For Kids,"['Dean Burrell', '']",9781685396725,1,0
Baseball's Greatest Players,"['Andrew Martin', '']",9781638782148,1,0
Because of Mister Terupt,"['Rob Buyea', '']",9780375858246,1,0
Because of Winn-Dixie,"['Kate DiCamillo', '']",9780763680862,1,0
Because of Winn-Dixie,"['Kate DiCamillo', '']",9780439250726,1,0
Because of Winn-Dixie,"['Kate DiCamillo', '']",9780763644321,1,0
Beetle Boy,"['M. G. Leonard', '']",9780545853477,1,0
"Bernice Buttman, Model Citizen""","['Niki Lenz', '']",9781524770433,1,0
Big Hero 6 Super-Brain Science Book of Why,"['Jennifer Swanson', '']",9781426320705,1,0
Blended,"['Sharon M. Draper', '']",9781442495005,1,0
Blizzard of the Blue Moon,"['Mary Pope Osborne', '']",9780375830372,1,0
Brian's winter,"['Gary Paulsen', '']",9780439650311,1,0
Bridge to Terabithia,"['Katherine Paterson', '']",9780786296200,1,0
Buddy,"['Ellen Miles', '']",9780439874106,2,0
Callie,"['Ellen Miles', '']",9780545318334,1,0
Calling on Dragons,"['Patricia C. Wrede', '']",9780544541474,1,0
Cam Jansen and the Mystery at the Monkey House,"['David A. Adler', 'Susanna Natti']",9780439133821,1,0
Cam Jansen and the Mystery of the Babe Ruth Baseball,"['David A. Adler', '']",1000000000002,1,0
Cam Jansen and the Mystery of the Circus Clown,"['David A. Adler', '']",9780439133838,1,0
Cam Jansen and the Mystery of the Stolen Corn Popper,"['David A. Adler', 'Susanna Natti']",9780141304618,1,0
Cam Jansen and the Mystery of the Stolen Diamonds,"['David A. Adler', 'Susanna Natti']",9781101075999,1,0
Cam Jansen and the Mystery of the U.F.O.,"['David A. Adler', '']",9780756941697,1,0
Cam Jansen and the Snowy Day Mystery,"['David A. Adler', 'Susanna Natti']",9780142404171,1,0
Cam Jansen and the Summer Camp Mysteries,"['David A. Adler', '']",9780142407424,1,0
Cam Jansen and the Tennis Trophy Mystery,"['David A. Adler', 'Susanna Natti']",9780439673846,1,0
Cam Jansen and The Triceratops Pops Mystery,"['David A. Adler', 'Susanna Natti']",9780140375121,1,0
Cassandra the Lucky,"['Joan Holub', 'Suzanne Williams']",9781442488175,1,0
Cat and Mouse in a Haunted House,"['Geronimo Stilton', '']",9780439559652,1,0
Catching Fire,"['Suzanne Collins', '']",9780545586177,1,0
Changes for Molly,"['Valerie Tripp', '']",9780590450836,1,0
Charlotte's Web,"['Elwyn Brooks White', '']",9780760707258,1,0
Charlotte's Web,"['Elwyn Brooks White', '']",9780590302715,1,0
Charlotte's Web,"['E. B. White', 'Kate DiCamillo']",9780061124952,2,0
Checked,"['Cynthia Kadohata', '']",9781481446624,1,0
Class Dismissed,"['Allan Woodrow', '']",9780545915984,1,0
Claudia and the Phantom Phone Calls,"['Ann M. Martin', '']",9780590435130,1,0
Confetti Girl,"['Diana Lopez', '']",9780316052528,1,0
Counting by 7s,"['Holly Goldberg Sloan', '']",9780142422861,1,0
Crenshaw,"['Katherine Applegate', '']",9781250091666,1,0
Crocodile Rescue! (Wild Survival #1),"['Melissa Cristina Márquez', '']",9781338845815,1,0
Dealing with Dragons,"['Patricia C. Wrede', '']",9780544541221,1,0
Diary of a Minecraft Zombie,"['Zack Zombie (Fictitious character)', '']",9781943330263,1,0
Diary of a Wimpy Kid,"['Jeff Kinney', '']",9781419705847,1,0
Diary of a Wimpy Kid # 1,"['Jeff Kinney', '']",9780810993136,1,0
Diary of a Wimpy Kid # 3 - The Last Straw,"['Jeff Kinney', '']",9780810970687,1,0
Diary of a Wimpy Kid # 5 - The Ugly Truth,"['Jeff Kinney', '']",9780810984912,1,0
Diary of a Wimpy Kid #11: Double Down,"['Jeff Kinney', '']",9781419723445,1,0
Diary of a Wimpy Kid: Dog Days,"['Jeff Kinney', '']",9780810988880,1,0
Diary of a Wimpy Kid: The Long Haul,"['Jeff Kinney', '']",9781613126929,1,0
Diary of a Wimpy Kid: The Ugly Truth,"['Jeff Kinney', '']",9780810997936,1,0
Divergent,"['Veronica Roth', '']",9780062024039,1,0
Dog Man #10,"['Dav Pilkey', '']",9781338680454,1,0
Dog Man: Grime and Punishment: From the Creator of Captain Underpants (Dog Man #9),"['Dav Pilkey', '']",9781338535624,1,0
Dog Man: Lord of the Fleas: from the Creator of Captain Underpants (Dog Man #5),"['Dav Pilkey', '']",9780545935173,1,0
Dork Diaries,"['Rachel Renee Russell', '']",9781416980063,1,0
Dork Diaries 10,"['Rachel Renée Russell', '']",9781481457040,1,0
Dork Diaries 11,"['Rachel Renée Russell', 'Erin Russell']",9781481479202,1,0
Dork Diaries 13,"['Rachel Renée Russell', '']",9781534426382,1,0
Dork Diaries 3,"['Rachel Renée Russell', '']",9781442411906,1,0
Dork Diaries 4,"['Rachel Renée Russell', '']",9781442411920,1,0
Dork Diaries 5,"['Rachel Renée Russell', '']",9781442449619,1,0
Dork Diaries 7,"['Rachel Renée Russell', 'Nikki Russell']",1000000000003,1,0
Dork Diaries 8,"['Rachel Renée Russell', 'Nikki Russell']",1000000000004,1,0
Dork Diaries: Tales from a Not-so-Dorky Drama Queen,"['Rachel Renée Russell', '']",9781481456975,1,0
Double Fudge,"['Judy Blume', '']",9781101564110,2,0
